svl	head_depth	d_tymp_rost	head_width	antebrachium	shank	toe	depth_pect	treename	genus	species
41	2.74	5.7366666667	3.3983333333	1.3283333333	3.3333333333	3.3483333333	3.0083333333	lerista_orientalis	lerista	orientalis
63.5	3.71	6.9375	4.45	0	4.3975	3.975	4.37	lerista_petersoni	lerista	petersoni
90.5	5.07	10.0425	6.345	0.275	5.5625	4.59	5.445	lerista_picturata	lerista	picturata
57	3.5883333333	8.14	4.3116666667	1.2766666667	5.0733333333	5.8583333333	4.0416666667	lerista_planiventralis	lerista	planiventralis
53.3333333333	2.0816666667	4.615	2.4666666667	0	0.175	0.1	2.3683333333	lerista_praepedita	lerista	praepedita
84.6666666667	4.205	8.4483333333	5.11	0.87	4.1333333333	2.9533333333	5.1116666667	lerista_punctatovittata	lerista	punctatovittata
80.5	4.6225	9.3325	5.895	1.31	6.045	4.8625	5.935	lerista_puncticauda	lerista	puncticauda
51.5	2.435	5.08	3.0275	0	3.2775	2.88	3.21	lerista_simillima	lerista	simillima
55.3333333333	3.3016666667	6.3533333333	3.8033333333	1.02	4.0916666667	4.1583333333	3.5816666667	lerista_stictopleura	lerista	stictopleura
74.3333333333	3.175	6.2333333333	3.6333333333	0	0.05	0.05	3.7533333333	lerista_stylis	lerista	stylis
45.5	3.245	5.905	3.4475	1.28	3.4825	4.0075	2.9525	lerista_taeniata	lerista	taeniata
59.5	4.465	8.8675	5.4425	1.715	5.0175	5.055	5.46	lerista_terdigitata	lerista	terdigitata
64.5	4.12	8.31	5.4775	1.85	4.3675	4.74	4.685	lerista_tridactyla	lerista	tridactyla
52.6666666667	2.8533333333	5.6233333333	3.6216666667	0	3.1583333333	3.1183333333	3.48	lerista_uniduo	lerista	uniduo
73	4.2316666667	7.7283333333	5.055	0	3.7833333333	3.5583333333	4.7566666667	lerista_varia	lerista	varia
42.6666666667	2.0483333333	4.2766666667	2.5216666667	0	3.1833333333	2.5833333333	2.4683333333	lerista_vermicularis	lerista	vermicularis
41.6666666667	2.6316666667	5.9216666667	3.8433333333	1.6616666667	3.885	3.535	3.1816666667	lerista_viduata	lerista	viduata
63.3333333333	4.08	7.475	4.9566666667	1.4283333333	3.1916666667	2.0416666667	4.44	lerista_walkeri	lerista	walkeri
66	2.715	5.9	3.375	0	1.775	0.9	3.05	lerista_wilkinsi	lerista	wilkinsi
41.0833333333	2.5225	5.4966666667	3.2783333333	1.6191666667	3.5758333333	3.99	2.9475	lerista_xanthura	lerista	xanthura
60.75	3.49125	6.5475	4.1725	0	3.9175	3.6725	3.99125	lerista_yuna	lerista	yuna
52.25	3.27875	7.15375	4.61625	1.975	4.26625	4.12	3.47875	lerista_zietzi	lerista	zietzi
35.5	3.3675	6.78125	4.3575	2.645	4.7775	4.89625	3.61875	notoscincus_ornatus	notoscincus	ornatus
34.25	2.97875	6.2175	3.98875	2.31	4.2725	4.08125	3.10375	notoscincus_wotjulum	notoscincus	wotjulum
62	3.105	5.6066666667	3.9633333333	0.2883333333	0.4666666667	0.15	3.465	ophioscincus_truncatus	ophioscincus	truncatus
64.4	4.105	7.774	5.229	1.677	3.173	0.429	5.103	saiphos_equalis	saiphos	equalis
